language,algo,distribution,n,runs,median_ms,iqr_ms,mean_ms,std_ms
cpp,builtin,dups,1000,30,0.021,0.003,0.024,0.014
cpp,builtin,dups,10000,30,0.229,0.009,0.236,0.017
cpp,builtin,dups,100000,30,2.447,0.366,2.560,0.224
cpp,builtin,dups,1000000,30,24.428,0.248,24.489,0.330
cpp,builtin,nearly_sorted,1000,30,0.006,0.002,0.006,0.001
cpp,builtin,nearly_sorted,10000,30,0.078,0.002,0.075,0.008
cpp,builtin,nearly_sorted,100000,30,0.883,0.448,0.988,0.230
cpp,builtin,nearly_sorted,1000000,30,9.527,0.585,9.702,0.430
cpp,builtin,random,1000,30,0.020,0.003,0.021,0.003
cpp,builtin,random,10000,30,0.353,0.008,0.357,0.007
cpp,builtin,random,100000,30,4.355,0.039,4.356,0.028
cpp,builtin,random,1000000,30,51.794,0.561,51.748,1.296
cpp,builtin,reversed,1000,30,0.003,0.001,0.004,0.001
cpp,builtin,reversed,10000,30,0.040,0.025,0.049,0.014
cpp,builtin,reversed,100000,30,0.477,0.156,0.542,0.108
cpp,builtin,reversed,1000000,30,5.890,0.357,5.945,0.285
cpp,builtin,sorted,1000,30,0.004,0.000,0.004,0.000
cpp,builtin,sorted,10000,30,0.062,0.015,0.062,0.009
cpp,builtin,sorted,100000,30,0.639,0.019,0.648,0.035
cpp,builtin,sorted,1000000,30,7.841,0.367,7.932,0.362
csharp,builtin,dups,1000,30,0.161,0.022,0.203,0.178
csharp,builtin,dups,10000,30,1.139,0.058,1.147,0.041
csharp,builtin,dups,100000,30,10.483,7.877,7.497,3.917
csharp,builtin,dups,1000000,30,26.244,0.154,26.323,0.281
csharp,builtin,nearly_sorted,1000,30,0.073,0.031,0.097,0.088
csharp,builtin,nearly_sorted,10000,30,0.695,0.372,0.823,0.202
csharp,builtin,nearly_sorted,100000,30,3.928,6.539,4.182,3.514
csharp,builtin,nearly_sorted,1000000,30,9.156,0.606,9.712,1.548
csharp,builtin,random,1000,30,0.166,0.031,0.192,0.116
